Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
17,F,5,18,d1,DD,n,0.048,3
17,F,6,18,d1,DD,s,0.029,3
17,F,7,18,d2,DD,h,0.0145,3
17,F,8,18,d2,DD,n,0.0235,3
17,F,9,18,d2,DD,s,0.045,3
17,F,10,18,t,t,h,0.059,3
17,F,11,18,t,t,n,0.09,3
17,F,12,18,t,t,s,0.0445,3
18,F,1,20,c,c,h,0.11,3
18,F,2,20,c,c,n,0.187,3
18,F,3,20,c,c,s,0.167,3
18,F,4,20,d1,DD,h,0.086,3
18,F,5,20,d1,DD,n,0.044,3
18,F,6,20,d1,DD,s,0.066,3
18,F,7,20,d2,DD,h,0.025,3
18,F,8,20,d2,DD,n,0.039,3
18,F,9,20,d2,DD,s,0.047,3
18,F,10,20,t,t,h,0.0765,3
18,F,11,20,t,t,n,0.103,3
18,F,12,20,t,t,s,0.1095,3
19,F,1,19,c,c,h,0.085,3
19,F,2,19,c,c,n,0.108,3
19,F,3,19,c,c,s,0.048,3
19,F,4,19,d1,DD,h,0.021,3
19,F,5,19,d1,DD,n,0.01,3
19,F,6,19,d1,DD,s,0.0415,3
19,F,7,19,d2,DD,h,0.022,3
19,F,8,19,d2,DD,n,0.0225,3
19,F,9,19,d2,DD,s,0.055,3
19,F,10,19,t,t,h,0.1115,3
19,F,11,19,t,t,n,0.086,3
19,F,12,19,t,t,s,0.138,3
20,F,1,20,c,c,h,0.1315,3
20,F,2,20,c,c,n,0.106,3
20,F,3,20,c,c,s,0.0955,3
20,F,4,20,d1,DD,h,0.0705,3
20,F,5,20,d1,DD,n,0.0775,3
20,F,6,20,d1,DD,s,0.0465,3
20,F,7,20,d2,DD,h,0.0075,3
20,F,8,20,d2,DD,n,0.029,3
20,F,9,20,d2,DD,s,0.07,3
20,F,10,20,t,t,h,0.114,3
20,F,11,20,t,t,n,0.1045,3
20,F,12,20,t,t,s,0.0815,3
21,F,1,20,c,c,h,0.098,3
21,F,2,20,c,c,n,0.0995,3
21,F,3,20,c,c,s,0.1115,3
21,F,4,20,d1,DD,h,0.0425,3
21,F,5,20,d1,DD,n,0.0205,3
21,F,6,20,d1,DD,s,0.031,3
21,F,7,20,d2,DD,h,0.024,3
21,F,8,20,d2,DD,n,0.046,3
21,F,9,20,d2,DD,s,0.0255,3
21,F,10,20,t,t,h,0.1655,3
21,F,11,20,t,t,n,0.133,3
21,F,12,20,t,t,s,0.135,3
22,M,1,22,c,c,h,0.1515,3
22,M,2,22,c,c,n,0.122,3
22,M,3,22,c,c,s,0.08,3
22,M,4,22,d1,DD,h,0.0725,3
22,M,5,22,d1,DD,n,0.0765,3
22,M,6,22,d1,DD,s,0.0615,3
22,M,7,22,d2,DD,h,0.0415,3
22,M,8,22,d2,DD,n,0.0165,3
22,M,9,22,d2,DD,s,0.0335,3
22,M,10,22,t,t,h,0.091,3
22,M,11,22,t,t,n,0.1085,3
22,M,12,22,t,t,s,0.1135,3
23,F,1,21,c,c,h,0.1695,3
23,F,2,21,c,c,n,0.1735,3
23,F,3,21,c,c,s,0.145,3
23,F,4,21,d1,DD,h,0.0625,3
23,F,5,21,d1,DD,n,0.058,3
23,F,6,21,d1,DD,s,0.0135,3
23,F,7,21,d2,DD,h,0,3
23,F,8,21,d2,DD,n,0.0075,3
23,F,9,21,d2,DD,s,0.0365,3
23,F,10,21,t,t,h,0.0885,3
23,F,11,21,t,t,n,0.0985,3
23,F,12,21,t,t,s,0.1375,3
24,M,1,21,c,c,h,0.064,3
24,M,2,21,c,c,n,0.145,3
24,M,3,21,c,c,s,0.115,3
24,M,4,21,d1,DD,h,0.0275,3
24,M,5,21,d1,DD,n,0.0165,3
24,M,6,21,d1,DD,s,0.012,3
24,M,7,21,d2,DD,h,0.053,3
24,M,8,21,d2,DD,n,0.0385,3
24,M,9,21,d2,DD,s,0.0525,3
24,M,10,21,t,t,h,0.161,3
24,M,11,21,t,t,n,0.117,3
24,M,12,21,t,t,s,0.0745,3
25,F,1,19,c,c,h,0.221,3
25,F,2,19,c,c,n,0.1995,3
25,F,3,19,c,c,s,0.168,3
25,F,4,19,d1,DD,h,0.018,3
25,F,5,19,d1,DD,n,0.0075,3
25,F,6,19,d1,DD,s,0,3
25,F,7,19,d2,DD,h,0.0555,3
25,F,8,19,d2,DD,n,0.0155,3
25,F,9,19,d2,DD,s,0,3
25,F,10,19,t,t,h,0.087,3
25,F,11,19,t,t,n,0.1115,3
25,F,12,19,t,t,s,0.16,3
26,F,1,20,c,c,h,0.089,3
26,F,2,20,c,c,n,0.073,3
26,F,3,20,c,c,s,0.132,3
26,F,4,20,d1,DD,h,0.06,3
26,F,5,20,d1,DD,n,0.039,3
26,F,6,20,d1,DD,s,0.045,3
26,F,7,20,d2,DD,h,0.032,3
26,F,8,20,d2,DD,n,0.032,3
26,F,9,20,d2,DD,s,0.025,3
26,F,10,20,t,t,h,0.026,3
26,F,11,20,t,t,n,0.084,3
26,F,12,20,t,t,s,0.0495,3
27,F,1,21,c,c,h,0.197,3
27,F,2,21,c,c,n,0.0795,3
27,F,3,21,c,c,s,0.201,3
27,F,4,21,d1,DD,h,0.0375,3
27,F,5,21,d1,DD,n,0.0425,3
27,F,6,21,d1,DD,s,0.083,3
27,F,7,21,d2,DD,h,0.062,3
27,F,8,21,d2,DD,n,0.0765,3
27,F,9,21,d2,DD,s,0.0405,3
27,F,10,21,t,t,h,0.0685,3
27,F,11,21,t,t,n,0.136,3
27,F,12,21,t,t,s,0.04,3
28,F,1,20,c,c,h,0.0855,3
28,F,2,20,c,c,n,0.1155,3
28,F,3,20,c,c,s,0.0725,3
28,F,4,20,d1,DD,h,0.0785,3
28,F,5,20,d1,DD,n,0.0595,3
28,F,6,20,d1,DD,s,0.0435,3
28,F,7,20,d2,DD,h,0.0435,3
28,F,8,20,d2,DD,n,0.044,3
28,F,9,20,d2,DD,s,0.0265,3
28,F,10,20,t,t,h,0.091,3
28,F,11,20,t,t,n,0.1195,3
28,F,12,20,t,t,s,0.1265,3
29,M,1,21,c,c,h,0.0505,3
29,M,2,21,c,c,n,0.0915,3
29,M,3,21,c,c,s,0.099,3
29,M,4,21,d1,DD,h,0.035,3
29,M,5,21,d1,DD,n,0,3
29,M,6,21,d1,DD,s,0.0175,3
29,M,7,21,d2,DD,h,0.026,3
29,M,8,21,d2,DD,n,0.0075,3
29,M,9,21,d2,DD,s,0.0125,3
29,M,10,21,t,t,h,0.0505,3
29,M,11,21,t,t,n,0.0725,3
29,M,12,21,t,t,s,0.0915,3
30,M,1,23,c,c,h,0.1095,3
30,M,2,23,c,c,n,0.1595,3
30,M,3,23,c,c,s,0.178,3
30,M,4,23,d1,DD,h,0.0615,3
30,M,5,23,d1,DD,n,0.053,3
30,M,6,23,d1,DD,s,0.0195,3
30,M,7,23,d2,DD,h,0.0435,3
30,M,8,23,d2,DD,n,0.035,3
30,M,9,23,d2,DD,s,0.0225,3
30,M,10,23,t,t,h,0.033,3
30,M,11,23,t,t,n,0.074,3
30,M,12,23,t,t,s,0.0805,3
31,F,1,21,c,c,h,0.131,3
31,F,2,21,c,c,n,0.144,3
31,F,3,21,c,c,s,0.098,3
31,F,4,21,d1,DD,h,0.058,3
31,F,5,21,d1,DD,n,0.001,3
31,F,6,21,d1,DD,s,0,3
31,F,7,21,d2,DD,h,0.016,3
31,F,8,21,d2,DD,n,0.0075,3
31,F,9,21,d2,DD,s,0.0055,3
31,F,10,21,t,t,h,0.096,3
31,F,11,21,t,t,n,0.1375,3
31,F,12,21,t,t,s,0.162,3
32,F,1,20,c,c,h,0.034,3
32,F,2,20,c,c,n,0.14,3
32,F,3,20,c,c,s,0.1065,3
32,F,4,20,d1,DD,h,0.075,3
32,F,5,20,d1,DD,n,0.009,3
32,F,6,20,d1,DD,s,0.046,3
32,F,7,20,d2,DD,h,0.041,3
32,F,8,20,d2,DD,n,0.028,3
32,F,9,20,d2,DD,s,0.048,3
32,F,10,20,t,t,h,0.0295,3
32,F,11,20,t,t,n,0.1435,3
32,F,12,20,t,t,s,0.0835,3
33,M,1,19,c,c,h,0.125,3
33,M,2,19,c,c,n,0.0815,3
33,M,3,19,c,c,s,0.0895,3
33,M,4,19,d1,DD,h,0.0205,3
33,M,5,19,d1,DD,n,0.1315,3
33,M,6,19,d1,DD,s,0.0915,3
33,M,7,19,d2,DD,h,0.058,3
33,M,8,19,d2,DD,n,0.0395,3
33,M,9,19,d2,DD,s,0.0465,3
33,M,10,19,t,t,h,0.1075,3
33,M,11,19,t,t,n,0.088,3
33,M,12,19,t,t,s,0.1275,3
