Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
6,F,4,19,d2,DD,h,0,5
6,F,8,19,d2,DD,n,0.0185,5
6,F,12,19,d2,DD,s,0.047,5
7,M,4,22,d2,DD,h,0.091,5
7,M,8,22,d2,DD,n,0.073,5
7,M,12,22,d2,DD,s,0.1025,5
8,F,4,23,d2,DD,h,0.0055,5
8,F,8,23,d2,DD,n,0,5
8,F,12,23,d2,DD,s,0.062,5
9,F,4,23,d2,DD,h,0.128,5
9,F,8,23,d2,DD,n,0.0745,5
9,F,12,23,d2,DD,s,0.1115,5
10,F,4,22,d2,DD,h,0.061,5
10,F,8,22,d2,DD,n,0.036,5
10,F,12,22,d2,DD,s,0.097,5
11,F,4,21,d2,DD,h,0.0315,5
11,F,8,21,d2,DD,n,0.0215,5
11,F,12,21,d2,DD,s,0.053,5
12,F,4,18,d2,DD,h,0.128,5
12,F,8,18,d2,DD,n,0.0915,5
12,F,12,18,d2,DD,s,0.1195,5
13,F,4,24,d2,DD,h,0.0725,5
13,F,8,24,d2,DD,n,0.1595,5
13,F,12,24,d2,DD,s,0.1405,5
14,M,4,21,d2,DD,h,0.0605,5
14,M,8,21,d2,DD,n,0.0115,5
14,M,12,21,d2,DD,s,0.0315,5
15,F,4,18,d2,DD,h,0.063,5
15,F,8,18,d2,DD,n,0.0565,5
15,F,12,18,d2,DD,s,0.136,5
16,F,4,23,d2,DD,h,0,5
16,F,8,23,d2,DD,n,0.001,5
16,F,12,23,d2,DD,s,0.0195,5
17,F,4,18,d2,DD,h,0.0525,5
17,F,8,18,d2,DD,n,0.048,5
17,F,12,18,d2,DD,s,0.055,5
18,F,4,20,d2,DD,h,0.154,5
18,F,8,20,d2,DD,n,0.02,5
18,F,12,20,d2,DD,s,0.3255,5
19,F,4,19,d2,DD,h,0.092,5
19,F,8,19,d2,DD,n,0.0085,5
19,F,12,19,d2,DD,s,0.083,5
20,F,4,20,d2,DD,h,0.119,5
20,F,8,20,d2,DD,n,0.17,5
20,F,12,20,d2,DD,s,0.044,5
21,F,4,20,d2,DD,h,0.048,5
21,F,8,20,d2,DD,n,0.068,5
21,F,12,20,d2,DD,s,0.002,5
22,M,4,22,d2,DD,h,0.1935,5
22,M,8,22,d2,DD,n,0.2085,5
22,M,12,22,d2,DD,s,0.074,5
23,F,4,21,d2,DD,h,0.099,5
23,F,8,21,d2,DD,n,0.0555,5
23,F,12,21,d2,DD,s,0.029,5
24,M,4,21,d2,DD,h,0.067,5
24,M,8,21,d2,DD,n,0.1085,5
24,M,12,21,d2,DD,s,0.0635,5
25,F,4,19,d2,DD,h,0.0395,5
25,F,8,19,d2,DD,n,0.03,5
25,F,12,19,d2,DD,s,0.0175,5
26,F,4,20,d2,DD,h,0.143,5
26,F,8,20,d2,DD,n,0.096,5
26,F,12,20,d2,DD,s,0.16,5
27,F,4,21,d2,DD,h,0.2085,5
27,F,8,21,d2,DD,n,0.1615,5
27,F,12,21,d2,DD,s,0.1715,5
28,F,4,20,d2,DD,h,0.1545,5
28,F,8,20,d2,DD,n,0.0845,5
28,F,12,20,d2,DD,s,0.1,5
29,M,4,21,d2,DD,h,0.0275,5
29,M,8,21,d2,DD,n,0.0255,5
