Participante,Sexo,Item,Edad,Imagen,TCDD,MD,Tiempo,Ventana
25,F,6,19,c,c,n,0.2525,4
25,F,7,19,d1,DD,n,0,4
25,F,8,19,d2,DD,n,0.04,4
25,F,5,19,t,t,n,0.192,4
26,F,6,20,c,c,n,0.111,4
26,F,7,20,d1,DD,n,0.058,4
26,F,8,20,d2,DD,n,0.031,4
26,F,5,20,t,t,n,0.1085,4
27,F,6,21,c,c,n,0.1095,4
27,F,7,21,d1,DD,n,0.057,4
27,F,8,21,d2,DD,n,0.0645,4
27,F,5,21,t,t,n,0.1735,4
28,F,6,20,c,c,n,0.221,4
28,F,7,20,d1,DD,n,0.0525,4
28,F,8,20,d2,DD,n,0.0515,4
28,F,5,20,t,t,n,0.101,4
29,M,6,21,c,c,n,0.155,4
29,M,7,21,d1,DD,n,0.0035,4
29,M,8,21,d2,DD,n,0.009,4
29,M,5,21,t,t,n,0.0535,4
3,F,6,21,c,c,n,0.195,4
3,F,7,21,d1,DD,n,0.0885,4
3,F,8,21,d2,DD,n,0.008,4
3,F,5,21,t,t,n,0.1435,4
30,M,6,23,c,c,n,0.186,4
30,M,7,23,d1,DD,n,0.058,4
30,M,8,23,d2,DD,n,0.0245,4
30,M,5,23,t,t,n,0.1635,4
31,F,6,21,c,c,n,0.227,4
31,F,7,21,d1,DD,n,0.0055,4
31,F,8,21,d2,DD,n,0.019,4
31,F,5,21,t,t,n,0.192,4
32,F,6,20,c,c,n,0.0945,4
32,F,7,20,d1,DD,n,0.0525,4
32,F,8,20,d2,DD,n,0.041,4
32,F,5,20,t,t,n,0.0975,4
33,M,6,19,c,c,n,0.139,4
33,M,7,19,d1,DD,n,0.132,4
33,M,8,19,d2,DD,n,0.0055,4
33,M,5,19,t,t,n,0.2005,4
4,F,6,24,c,c,n,0.2015,4
4,F,7,24,d1,DD,n,0.044,4
4,F,8,24,d2,DD,n,0.0295,4
4,F,5,24,t,t,n,0.1935,4
5,F,6,19,c,c,n,0.178,4
5,F,7,19,d1,DD,n,0.0465,4
5,F,8,19,d2,DD,n,0.0455,4
5,F,5,19,t,t,n,0.1905,4
