Participante,Sexo,Item,Edad,Imagen,Juntas,TCDD,MD,Tiempo,Ventana
27,F,11,21,t,TC,T,n,0.6445,2
27,F,12,21,t,TC,T,s,0.754,2
28,F,1,20,c,TC,c,h,0.533,2
28,F,2,20,c,TC,c,n,0.818,2
28,F,3,20,c,TC,c,s,0.765,2
28,F,4,20,d1,DD,DD,h,0.6085,2
28,F,5,20,d1,DD,DD,n,0.7315,2
28,F,6,20,d1,DD,DD,s,0.5975,2
28,F,7,20,d2,DD,DD,h,0.3865,2
28,F,8,20,d2,DD,DD,n,0.2355,2
28,F,9,20,d2,DD,DD,s,0.2305,2
28,F,10,20,t,TC,T,h,0.8665,2
28,F,11,20,t,TC,T,n,0.5415,2
28,F,12,20,t,TC,T,s,0.773,2
29,M,1,21,c,TC,c,h,0.363,2
29,M,2,21,c,TC,c,n,0.468,2
29,M,3,21,c,TC,c,s,0.3805,2
29,M,4,21,d1,DD,DD,h,0.2125,2
29,M,5,21,d1,DD,DD,n,0.273,2
29,M,6,21,d1,DD,DD,s,0.1595,2
29,M,7,21,d2,DD,DD,h,0.257,2
29,M,8,21,d2,DD,DD,n,0.159,2
29,M,9,21,d2,DD,DD,s,0.1315,2
29,M,10,21,t,TC,T,h,0.526,2
29,M,11,21,t,TC,T,n,0.417,2
29,M,12,21,t,TC,T,s,0.4955,2
30,M,1,23,c,TC,c,h,0.474,2
30,M,2,23,c,TC,c,n,1.0145,2
30,M,3,23,c,TC,c,s,0.682,2
30,M,4,23,d1,DD,DD,h,0.447,2
30,M,5,23,d1,DD,DD,n,0.398,2
30,M,6,23,d1,DD,DD,s,0.363,2
30,M,7,23,d2,DD,DD,h,0.269,2
30,M,8,23,d2,DD,DD,n,0.1775,2
30,M,9,23,d2,DD,DD,s,0.259,2
30,M,10,23,t,TC,T,h,0.801,2
30,M,11,23,t,TC,T,n,0.4955,2
30,M,12,23,t,TC,T,s,0.514,2
31,F,1,21,c,TC,c,h,0.7835,2
31,F,2,21,c,TC,c,n,0.9565,2
31,F,3,21,c,TC,c,s,0.6945,2
31,F,4,21,d1,DD,DD,h,0.2915,2
31,F,5,21,d1,DD,DD,n,0.3955,2
31,F,6,21,d1,DD,DD,s,0.2315,2
31,F,7,21,d2,DD,DD,h,0.3235,2
31,F,8,21,d2,DD,DD,n,0.277,2
31,F,9,21,d2,DD,DD,s,0.2525,2
31,F,10,21,t,TC,T,h,0.7985,2
31,F,11,21,t,TC,T,n,0.618,2
31,F,12,21,t,TC,T,s,1.0515,2
32,F,1,20,c,TC,c,h,0.5235,2
32,F,2,20,c,TC,c,n,0.7245,2
32,F,3,20,c,TC,c,s,0.4495,2
32,F,4,20,d1,DD,DD,h,0.263,2
32,F,5,20,d1,DD,DD,n,0.302,2
32,F,6,20,d1,DD,DD,s,0.324,2
32,F,7,20,d1,DD,DD,s,0.1915,2
32,F,8,20,d2,DD,DD,h,0.324,2
32,F,9,20,d2,DD,DD,n,0.1975,2
32,F,10,20,t,TC,T,h,0.6155,2
32,F,11,20,t,TC,T,n,0.673,2
32,F,12,20,t,TC,T,s,0.6475,2
33,M,1,19,c,TC,c,h,0.6485,2
33,M,2,19,c,TC,c,n,1.047,2
33,M,3,19,c,TC,c,s,0.629,2
33,M,4,19,d1,DD,DD,h,0.47,2
33,M,5,19,d1,DD,DD,n,0.503,2
33,M,6,19,d1,DD,DD,s,0.5125,2
33,M,7,19,d2,DD,DD,h,0.454,2
33,M,8,19,d2,DD,DD,n,0.4095,2
33,M,9,19,d2,DD,DD,s,0.504,2
33,M,10,19,t,TC,T,h,0.88,2
33,M,11,19,t,TC,T,n,0.5365,2
33,M,12,19,t,TC,T,s,0.7975,2
